date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019-10-10,2923.71,2949.24,2947.71,2918.23,1342397.5,22.85,0.78,2924.7,2947.689,2977.108,1279504.6,1511415.49,1859915.64
2019-10-09,2902.08,2924.86,2924.86,2891.54,1304241.5,11.29,0.39,2920.976,2952.846,2977.593,1388890.17,1539866.35,1905543.71
2019-10-08,2905.76,2933.02,2913.57,2905.76,1255358.12,8.38,0.29,2927.09,2958.926,2977.857,1465128.15,1577488.9,1934832.24
2019-09-30,2927.92,2936.48,2905.19,2905.19,1166468.12,-26.98,-0.92,2941.444,2965.381,2978.384,1541862.05,1675291.14,1973457.74
2019-09-27,2929.49,2939.08,2932.17,2920.93,1329057.75,3.08,0.1,2955.822,2977.937,2977.437,1644847.33,1780523.28,2012114.31
2019-09-26,2964.48,2970.04,2929.09,2928.26,1889325.38,-26.34,-0.89,2970.678,2987.844,2975.374,1743326.38,1844586.2,2034967.97
2019-09-25,2977.67,2977.67,2955.43,2955.43,1685431.38,-29.91,-1.0,2984.716,2995.816,2973.608,1690842.52,1885491.01,2032050.65
2019-09-24,2979.48,3002.9,2985.34,2973.76,1639027.62,8.26,0.28,2990.762,3002.393,2970.946,1689849.65,1956960.82,2051849.98
2019-09-23,2998.4,2998.4,2977.08,2960.83,1681394.5,-29.37,-0.98,2989.318,3006.333,2964.857,1808720.22,2036435.81,2054846.28
2019-09-20,3004.81,3011.34,3006.45,2996.19,1821453.0,7.17,0.24,3000.052,3008.585,2960.875,1916199.22,2085122.39,2050354.97
2019-09-19,2992.92,2999.28,2999.28,2975.4,1626906.12,13.62,0.46,3005.01,3006.526,2954.724,1945846.02,2208415.79,2033885.42
2019-09-18,2984.08,2996.4,2985.66,2982.4,1680467.0,7.54,0.25,3006.916,3002.339,2948.777,2080139.5,2271221.08,2032049.95
2019-09-17,3023.71,3023.71,2978.12,2970.57,2233380.5,-52.63,-1.74,3014.024,2996.788,2943.494,2224072.0,2292175.59,2042865.2
2019-09-16,3041.92,3042.93,3030.75,3020.05,2218789.5,-0.49,-0.02,3023.348,2991.387,2938.743,2264151.4,2271624.35,2038469.51
2019-09-12,3016.63,3033.47,3031.24,3005.19,1969687.0,22.43,0.74,3017.118,2976.936,2928.396,2254045.55,2243705.35,2001821.21
2019-09-11,3029.93,3030.56,3008.81,3004.22,2298373.5,-12.39,-0.41,3008.042,2962.904,2917.624,2470985.55,2225349.74,1979722.94
2019-09-10,3027.41,3027.41,3021.2,3005.38,2400129.5,-3.54,-0.12,2997.762,2951.399,2907.629,2462302.65,2178610.29,1936811.58
2019-09-09,3023.78,3026.24,3024.74,3005.69,2433777.5,25.14,0.84,2979.552,2939.498,2896.432,2360279.17,2146739.14,1882263.36
2019-09-06,2996.62,2999.94,2999.6,2981.6,2168260.25,13.74,0.46,2959.426,2923.381,2885.945,2279097.3,2073256.75,1826356.2
2019-09-05,2972.66,3015.84,2985.86,2972.66,3054387.0,28.45,0.96,2936.754,2913.164,2874.702,2233365.15,2015587.55,1792063.33
2019-09-04,2927.75,2957.41,2957.41,2925.88,2254959.0,27.26,0.93,2917.766,2902.922,2865.137,1979713.92,1859355.06,1714113.76
2019-09-03,2925.94,2930.15,2930.15,2915.2,1890012.12,6.04,0.21,2905.036,2895.214,2855.7,1894917.92,1792878.82,1680224.19
2019-09-02,2886.94,2928.48,2924.11,2883.68,2027868.12,37.87,1.31,2899.444,2890.199,2848.071,1933199.1,1793554.81,1701285.44
2019-08-30,2907.38,2914.58,2886.24,2874.1,1939599.5,-4.68,-0.16,2887.336,2886.098,2842.94,1867416.2,1805314.67,1683601.75
2019-08-29,2896.0,2898.6,2890.92,2878.59,1786130.88,-2.84,-0.1,2889.574,2879.856,2842.02,1797809.95,1759937.07,1679065.99
2019-08-28,2901.63,2905.44,2893.76,2887.01,1830979.0,-8.43,-0.29,2888.078,2872.344,2842.913,1738996.2,1734096.14,1660954.36
2019-08-27,2879.52,2919.64,2902.19,2879.41,2081418.0,38.62,1.35,2885.392,2863.859,2844.85,1690839.72,1695012.87,1639931.58
